t,x,y,u
0.0,0.0,0.0,0.9999999303082855
0.0,0.0,5e-07,0.9999997909248856
0.0,0.0,1e-06,0.999999372774919
0.0,0.0,1.5e-06,0.9999981183271176
0.0,0.0,2e-06,0.9999943550025967
0.0,0.0,2.4999999999999998e-06,0.9999830651989838
0.0,0.0,3e-06,0.9999491973176184
0.0,0.0,3.5e-06,0.999847607436757
0.0,0.0,4e-06,0.9995429616087752
0.0,0.0,4.5e-06,0.9986301369863013
0.0,0.0,4.9999999999999996e-06,0.9959016393442623
0.0,0.0,5.5e-06,0.9878048780487805
0.0,0.0,6e-06,0.9642857142857142
0.0,0.0,6.5e-06,0.8999999999999999
0.0,0.0,7e-06,0.7499999999999998
0.0,0.0,7.499999999999999e-06,0.5
0.0,0.0,8e-06,0.24999999999999983
0.0,0.0,8.5e-06,0.09999999999999987
0.0,0.0,9e-06,0.03571428571428564
0.0,0.0,9.499999999999999e-06,0.012195121951219523
0.0,0.0,9.999999999999999e-06,0.0040983606557377095
0.0,0.0,1.05e-05,0.0013698630136986245
0.0,0.0,1.1e-05,0.000457038391224851
0.0,0.0,1.15e-05,0.00015239256324289796
0.0,0.0,1.2e-05,5.080268238161212e-05
0.0,0.0,1.2499999999999999e-05,1.693480101611078e-05
0.0,0.0,1.3e-05,5.6449974032979355e-06
0.0,0.0,1.35e-05,1.8816728824533335e-06
0.0,0.0,1.4e-05,6.272250809846724e-07
0.0,0.0,1.45e-05,2.0907511444345772e-07
0.0,0.0,1.4999999999999999e-05,6.969171451043366e-08
0.0,0.0,1.55e-05,2.3230572576693476e-08
0.0,5e-07,0.0,0.9999997909248856
0.0,5e-07,5e-07,0.9999996704416002
0.0,5e-07,1e-06,0.9999991870639457
0.0,5e-07,1.5e-06,0.9999977511002949
0.0,5e-07,2e-06,0.9999935375127093
0.0,5e-07,2.4999999999999998e-06,0.9999811190619446
0.0,5e-07,3e-06,0.9999443618980666
0.0,5e-07,3.5e-06,0.9998352344686852
0.0,5e-07,4e-06,0.9995106234821588
0.0,5e-07,4.5e-06,0.9985443222466077
0.0,5e-07,4.9999999999999996e-06,0.9956718066325239
0.0,5e-07,5.5e-06,0.9871897290742673
0.0,5e-07,6e-06,0.962678162815247
0.0,5e-07,6.5e-06,0.8961381169604682
0.0,5e-07,7e-06,0.7425808482668763
0.0,5e-07,7.499999999999999e-06,0.49085606697652834
0.0,5e-07,8e-06,0.24362438565457495
0.0,5e-07,8.5e-06,0.09713170929277021
0.0,5e-07,9e-06,0.034678866391470886
0.0,5e-07,9.499999999999999e-06,0.011851951323421595
0.0,5e-07,9.999999999999999e-06,0.003987840513363816
0.0,5e-07,1.05e-05,0.0013345624288441105
0.0,5e-07,1.1e-05,0.0004457788965818166
0.0,5e-07,1.15e-05,0.00014879832111913682
0.0,5e-07,1.2e-05,4.9653678399042e-05
0.0,5e-07,1.2499999999999999e-05,1.656691510054653e-05
0.0,5e-07,1.3e-05,5.527029463658906e-06
0.0,5e-07,1.35e-05,1.8437905798251997e-06
0.0,5e-07,1.4e-05,6.150438981999962e-07
0.0,5e-07,1.45e-05,2.0515332505022243e-07
0.0,5e-07,1.4999999999999999e-05,6.842760447156593e-08
0.0,5e-07,1.55e-05,2.282266792219545e-08
0.0,1e-06,0.0,0.999999372774919
0.0,1e-06,5e-07,0.9999991870639457
0.0,1e-06,1e-06,0.9999984415847082
0.0,1e-06,1.5e-06,0.9999963401377623
0.0,1e-06,2e-06,0.9999905173836732
0.0,1e-06,2.4999999999999998e-06,0.99997414488106
0.0,1e-06,3e-06,0.9999274346267757
0.0,1e-06,3.5e-06,0.9997927062022336
0.0,1e-06,4e-06,0.9994010871163672
0.0,1e-06,4.5e-06,0.9982571331049133
0.0,1e-06,4.9999999999999996e-06,0.9949106020050671
0.0,1e-06,5.5e-06,0.9851723882528096
0.0,1e-06,6e-06,0.9574661036513861
0.0,1e-06,6.5e-06,0.8838285256012548
0.0,1e-06,7e-06,0.7195963677912713
0.0,1e-06,7.499999999999999e-06,0.46360539812711515
0.0,1e-06,8e-06,0.22523655529148429
0.0,1e-06,8.5e-06,0.08899007673965792
0.0,1e-06,9e-06,0.03175206408832415
0.0,1e-06,9.499999999999999e-06,0.010881242427836502
0.0,1e-06,9.999999999999999e-06,0.003674527671975736
0.0,1e-06,1.05e-05,0.0012342370323350504
0.0,1e-06,1.1e-05,0.0004137005526427262
0.0,1e-06,1.15e-05,0.00013853487653869845
0.0,1e-06,1.2e-05,4.6365746393106644e-05
0.0,1e-06,1.2499999999999999e-05,1.551214631229092e-05
0.0,1e-06,1.3e-05,5.188196808669776e-06
0.0,1e-06,1.35e-05,1.7348032327890728e-06
0.0,1e-06,1.4e-05,5.799448632437532e-07
0.0,1e-06,1.45e-05,1.9383690591512348e-07
0.0,1e-06,1.4999999999999999e-05,6.477513569969062e-08
0.0,1e-06,1.55e-05,2.1642621472750534e-08
0.0,1.5e-06,0.0,0.9999981183271176
0.0,1.5e-06,5e-07,0.9999977511002949
0.0,1.5e-06,1e-06,0.9999963401377623
0.0,1.5e-06,1.5e-06,0.9999926306017537
0.0,1.5e-06,2e-06,0.9999830651989838
0.0,1.5e-06,2.4999999999999998e-06,0.9999578076282287
0.0,1.5e-06,3e-06,0.999889398804775
0.0,1.5e-06,3.5e-06,0.9997002920810452
0.0,1.5e-06,4e-06,0.9991694875835679
0.0,1.5e-06,4.5e-06,0.9976636656732083
0.0,1.5e-06,4.9999999999999996e-06,0.9933689257507883
0.0,1.5e-06,5.5e-06,0.9811659830777721
0.0,1.5e-06,6e-06,0.9473549093820135
0.0,1.5e-06,6.5e-06,0.8607901497943291
0.0,1.5e-06,7e-06,0.6790588806345392
0.0,1.5e-06,7.499999999999999e-06,0.4191284618155537
0.0,1.5e-06,8e-06,0.1970352731752491
0.0,1.5e-06,8.5e-06,0.07685936903541435
0.0,1.5e-06,9e-06,0.027421893387070406
0.0,1.5e-06,9.499999999999999e-06,0.00944252023089348
0.0,1.5e-06,9.999999999999999e-06,0.0032080646884247166
0.0,1.5e-06,1.05e-05,0.0010841203536467447
0.0,1.5e-06,1.1e-05,0.0003654676999730877
0.0,1.5e-06,1.15e-05,0.0001230326616020183
0.0,1.5e-06,1.2e-05,4.1378739005171195e-05
0.0,1.5e-06,1.2499999999999999e-05,1.3906138673525081e-05
0.0,1.5e-06,1.3e-05,4.670447897259233e-06
0.0,1.5e-06,1.35e-05,1.5677181368634052e-06
0.0,1.5e-06,1.4e-05,5.259713261041021e-07
0.0,1.5e-06,1.45e-05,1.763856796177521e-07
0.0,1.5e-06,1.4999999999999999e-05,5.912770151272895e-08
0.0,1.5e-06,1.55e-05,1.9813526597189934e-08
0.0,2e-06,0.0,0.9999943550025967
0.0,2e-06,5e-07,0.9999935375127093
0.0,2e-06,1e-06,0.9999905173836732
