Epoch,Loss_u,Loss_pde,Loss_l1,Loss_tot,p0,p1,p2,p3,p4,p5,p6
     0,1.3811e-01,9.8231e-04,7.4879e+00,1.3811e-01, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     1,1.3095e-01,5.6133e-04,7.4879e+00,1.3095e-01, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     2,1.1944e-01,7.1459e-04,7.4879e+00,1.1944e-01, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     3,9.9987e-02,4.4931e-03,7.4879e+00,9.9987e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     4,7.3261e-02,2.3212e-02,7.4879e+00,7.3261e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     5,5.3010e-02,9.3386e-02,7.4879e+00,5.3010e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     6,7.2091e-02,3.1724e-01,7.4879e+00,7.2091e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     7,6.1017e-02,3.9941e-01,7.4879e+00,6.1017e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     8,4.7884e-02,3.5197e-01,7.4879e+00,4.7884e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     9,4.8028e-02,2.6851e-01,7.4879e+00,4.8028e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    10,5.3313e-02,2.0809e-01,7.4879e+00,5.3313e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    11,5.6511e-02,1.7972e-01,7.4879e+00,5.6511e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    12,5.5961e-02,1.7696e-01,7.4879e+00,5.5961e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    13,5.2444e-02,1.9513e-01,7.4879e+00,5.2444e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    14,4.7642e-02,2.3222e-01,7.4879e+00,4.7642e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    15,4.3791e-02,2.8421e-01,7.4879e+00,4.3791e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    16,4.2929e-02,3.3730e-01,7.4879e+00,4.2929e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    17,4.4794e-02,3.6460e-01,7.4879e+00,4.4794e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    18,4.5939e-02,3.4606e-01,7.4879e+00,4.5939e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    19,4.4275e-02,2.9399e-01,7.4879e+00,4.4275e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    20,4.1844e-02,2.3662e-01,7.4879e+00,4.1844e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    21,4.0892e-02,1.9286e-01,7.4879e+00,4.0892e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    22,4.1211e-02,1.6880e-01,7.4879e+00,4.1211e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    23,4.1389e-02,1.6409e-01,7.4879e+00,4.1389e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    24,4.0551e-02,1.7758e-01,7.4879e+00,4.0551e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    25,3.8868e-02,2.0900e-01,7.4879e+00,3.8868e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    26,3.7243e-02,2.5731e-01,7.4879e+00,3.7243e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    27,3.6543e-02,3.1583e-01,7.4879e+00,3.6543e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    28,3.6619e-02,3.6777e-01,7.4879e+00,3.6619e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    29,3.6255e-02,3.9153e-01,7.4879e+00,3.6255e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    30,3.4782e-02,3.7748e-01,7.4879e+00,3.4782e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    31,3.3008e-02,3.3529e-01,7.4879e+00,3.3008e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
