Epoch,Loss_u,Loss_pde,Loss_l1,Loss_tot,p0,p1,p2,p3,p4,p5,p6
     0,4.7058e-02,2.5559e-01,7.4879e+00,4.7058e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     1,4.4373e-02,2.7693e-01,7.4879e+00,4.4373e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     2,3.4695e-02,3.5971e-01,7.4879e+00,3.4695e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     3,2.4303e-02,3.9506e-01,7.4879e+00,2.4303e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     4,1.5556e-02,3.4765e-01,7.4879e+00,1.5556e-02, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     5,9.6204e-03,7.6791e-01,7.4879e+00,9.6204e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     6,5.5866e-03,8.5321e-01,7.4879e+00,5.5866e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     7,4.1150e-03,7.9517e-01,7.4879e+00,4.1150e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     8,2.9908e-03,8.4924e-01,7.4879e+00,2.9908e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
     9,2.3864e-03,9.3812e-01,7.4879e+00,2.3864e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    10,2.1035e-03,8.7164e-01,7.4879e+00,2.1035e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    11,1.8051e-03,8.9051e-01,7.4879e+00,1.8051e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    12,1.6006e-03,8.6637e-01,7.4879e+00,1.6006e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    13,1.3997e-03,9.1389e-01,7.4879e+00,1.3997e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    14,1.6046e-03,8.7464e-01,7.4879e+00,1.6046e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    15,2.0876e-03,8.3449e-01,7.4879e+00,2.0876e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    16,1.0927e-03,9.1158e-01,7.4879e+00,1.0927e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    17,1.0490e-03,9.0274e-01,7.4879e+00,1.0490e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    18,8.9753e-04,9.2313e-01,7.4879e+00,8.9753e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    19,8.6456e-04,9.1689e-01,7.4879e+00,8.6456e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    20,7.5944e-04,8.9563e-01,7.4879e+00,7.5944e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    21,1.4370e-03,9.6603e-01,7.4879e+00,1.4370e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    22,7.7353e-04,9.1234e-01,7.4879e+00,7.7353e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    23,6.8069e-04,9.1383e-01,7.4879e+00,6.8069e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    24,6.0095e-04,9.3404e-01,7.4879e+00,6.0095e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    25,1.2889e-03,9.3353e-01,7.4879e+00,1.2889e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    26,1.3405e-03,9.6707e-01,7.4879e+00,1.3405e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    27,7.1286e-04,9.5308e-01,7.4879e+00,7.1286e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    28,5.9130e-04,9.5439e-01,7.4879e+00,5.9130e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    29,4.2518e-04,9.4812e-01,7.4879e+00,4.2518e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    30,4.6715e-04,9.4587e-01,7.4879e+00,4.6715e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    31,1.1628e-03,9.3908e-01,7.4879e+00,1.1628e-03, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    32,4.4748e-04,9.4558e-01,7.4879e+00,4.4748e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    33,5.8344e-04,9.5072e-01,7.4879e+00,5.8344e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    34,4.8732e-04,9.3608e-01,7.4879e+00,4.8732e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    35,4.1111e-04,9.4010e-01,7.4879e+00,4.1111e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    36,3.3801e-04,9.5369e-01,7.4879e+00,3.3801e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    37,6.7842e-04,9.0319e-01,7.4879e+00,6.7842e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    38,6.8206e-04,9.0565e-01,7.4879e+00,6.8206e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    39,2.7277e-04,9.5798e-01,7.4879e+00,2.7277e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    40,2.4494e-04,9.0779e-01,7.4879e+00,2.4494e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    41,4.2317e-04,9.4002e-01,7.4879e+00,4.2317e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    42,3.6127e-04,9.4963e-01,7.4879e+00,3.6127e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    43,2.7801e-04,9.6723e-01,7.4879e+00,2.7801e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    44,2.3297e-04,9.4170e-01,7.4879e+00,2.3297e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    45,9.6063e-04,8.9165e-01,7.4879e+00,9.6063e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    46,6.3160e-04,8.9033e-01,7.4879e+00,6.3160e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    47,2.9244e-04,9.3882e-01,7.4879e+00,2.9244e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    48,2.6687e-04,9.5969e-01,7.4879e+00,2.6687e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    49,2.0661e-04,9.6911e-01,7.4879e+00,2.0661e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    50,1.8296e-04,9.0860e-01,7.4879e+00,1.8296e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    51,1.7228e-04,9.3088e-01,7.4879e+00,1.7228e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    52,1.5204e-04,9.3955e-01,7.4879e+00,1.5204e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    53,1.3916e-04,9.3776e-01,7.4879e+00,1.3916e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    54,1.4634e-04,9.4089e-01,7.4879e+00,1.4634e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    55,2.0945e-04,9.4741e-01,7.4879e+00,2.0945e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    56,2.2109e-04,9.3365e-01,7.4879e+00,2.2109e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    57,1.5827e-04,9.4365e-01,7.4879e+00,1.5827e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    58,1.3912e-04,9.4954e-01,7.4879e+00,1.3912e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    59,1.6378e-04,9.6095e-01,7.4879e+00,1.6378e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    60,4.8548e-04,9.3625e-01,7.4879e+00,4.8548e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    61,1.0752e-04,9.1619e-01,7.4879e+00,1.0752e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    62,1.2251e-04,9.4547e-01,7.4879e+00,1.2251e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    63,1.0506e-04,9.5428e-01,7.4879e+00,1.0506e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    64,1.2863e-04,9.4549e-01,7.4879e+00,1.2863e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    65,3.0029e-04,9.0908e-01,7.4879e+00,3.0029e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    66,3.1334e-04,9.4371e-01,7.4879e+00,3.1334e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    67,1.0793e-04,9.2864e-01,7.4879e+00,1.0793e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    68,1.3708e-04,9.5767e-01,7.4879e+00,1.3708e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    69,8.9565e-05,9.4041e-01,7.4879e+00,8.9565e-05, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    70,1.0790e-04,9.3276e-01,7.4879e+00,1.0790e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    71,2.9693e-04,9.2994e-01,7.4879e+00,2.9693e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    72,1.1054e-04,9.3615e-01,7.4879e+00,1.1054e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    73,9.9341e-05,9.3341e-01,7.4879e+00,9.9341e-05, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    74,1.1570e-04,9.1168e-01,7.4879e+00,1.1570e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    75,1.8416e-04,9.5408e-01,7.4879e+00,1.8416e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    76,9.5666e-05,9.2407e-01,7.4879e+00,9.5666e-05, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    77,2.3248e-04,9.2516e-01,7.4879e+00,2.3248e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    78,2.3081e-04,9.1787e-01,7.4879e+00,2.3081e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    79,9.8244e-05,9.5265e-01,7.4879e+00,9.8244e-05, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    80,8.8613e-05,9.4419e-01,7.4879e+00,8.8613e-05, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    81,1.9086e-04,9.4902e-01,7.4879e+00,1.9086e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    82,1.0457e-04,9.3970e-01,7.4879e+00,1.0457e-04, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
    83,7.9056e-05,9.5904e-01,7.4879e+00,7.9056e-05, -5.6304e-01,-2.8970e+00,1.4370e-01,-6.2471e-01,-1.4866e+00,1.3500e+00,4.2288e-01
